,WineName,Winery,Country,Rating,NumberOfRatings,Price
72,Reserve Tinto 2014,Exlibris Baco,Portugal,4.0,83 ratings,19.1
73,Liberalitas Tinto 2015,Vinha das Virtudes,Portugal,4.0,64 ratings,12.98
74,Carretal 2014,Cailhol Gautran,France,4.0,56 ratings,17.72
75,Cuvée Marguerite Côtes du Rhône 2017,Domaine de Cabasse,France,4.0,50 ratings,20.99
76,170 Perricone 2017,Terre di Gratia,Italy,4.0,46 ratings,17.57
77,Chinon 2018,Domaine de La Noblaie,France,4.0,44 ratings,24.99
78,La Source 2017,Saint Jean du Barroux,France,4.0,39 ratings,19.84
79,Cabernet - Merlot 2017,Cedar Creek Estate Winery,Canada,4.0,34 ratings,20.99
80,Merlot 2016,Young & Wyse Collection,Canada,4.0,32 ratings,24.9
81,Sogno Mediterraneo (Mediterranean Blend) 2017,Casadei,Italy,4.0,31 ratings,24.44
82,Bench Red 2018,Three Sisters,Canada,4.0,28 ratings,19.04
83,Pinot Noir 2018,Manos Negras,Argentina,4.0,27 ratings,19.99
84,Speck Family Reserve Pinot Noir 2017,Henry of Pelham,Canada,4.0,26 ratings,24.95
85,Montefalco Rosso 2016,Cantina Roccafiore,Italy,4.0,25 ratings,22.15
86,Diamond Collection Cabernet Sauvignon (Ivory Label) 2017,Francis Ford Coppola,United States,3.9,3841 ratings,30.0
87,Primitivo 2017,Luccarelli,Italy,3.9,4705 ratings,18.99
88,Sangiovese Toscana 2016,Caparzo,Italy,3.9,2644 ratings,21.49
89,Cabernet Sauvignon 2017,Liberty School,United States,3.9,2132 ratings,23.99
90,Della Casa N.V.,Loredan Gasparini,Italy,3.9,1875 ratings,24.5
91,Tinto 2012,Cortes de Cima,Portugal,3.9,1770 ratings,20.5
92,Guarda Rios Tinto 2018,Vale d'Algares,Portugal,3.9,1427 ratings,14.99
93,Los Osos Merlot 2016,J. Lohr,United States,3.9,1113 ratings,24.0
94,Cabernet Sauvignon 2017,Cannonball,United States,3.9,856 ratings,32.77
95,Reserva Vendimia Seleccionada 2011,Muriel,Spain,3.9,810 ratings,20.5
96,Baco Noir 2018,Henry of Pelham,Canada,3.9,769 ratings,15.95
97,El Picaro 2019,Matsu,Spain,3.9,746 ratings,19.95
98,Maremma Toscana Mongrana 2016,Querciabella,Italy,3.9,734 ratings,23.0
99,Red Blend 2018,Silk & Spice,Portugal,3.9,699 ratings,18.52
100,Syrah 2018,Cusumano,Italy,3.8,691 ratings,20.49
101,Guarda Malbec 2017,Lagarde,Argentina,3.9,661 ratings,24.0
102,La Ladra Barbera d'Asti Superiore N.V.,Tenute dei Vallarino,Italy,3.9,661 ratings,21.98
103,Jester Shiraz 2015,Mitolo,Australia,3.9,649 ratings,22.95
104,Château Cambon Beaujolais 2018,Domaine Mathieu & Camille Lapierre,France,3.9,591 ratings,24.75
105,Cabernet Sauvignon 2016,Chasing Lions,United States,3.9,534 ratings,20.75
106,Caburnio 2013,Tenuta Monteti,Italy,3.9,530 ratings,37.37
107,Primitivo 2017,Feudi di San Gregorio,Italy,3.9,482 ratings,22.99
108,Côtes du Roussillon 2016,Domaine Guisset,France,3.9,457 ratings,19.99
109,Caburnio 2012,Tenuta Monteti,Italy,3.9,435 ratings,23.39
110,Il Grigio Chianti Classico Riserva 2016,San Felice,Italy,3.9,427 ratings,20.93
111,Cabernet Sauvignon Reserva 2014,Sottano,Argentina,3.9,378 ratings,21.0
112,Ventoux Quintessence 2017,Château Pesquie,France,3.9,356 ratings,28.84
113,L'U Umbria Rosso 2016,Lungarotti,Italy,3.9,344 ratings,24.95
114,Scaia Paradiso 2017,Tenuta Sant'Antonio,Italy,3.9,346 ratings,17.41
115,Bolgheri Rosso 2018,Tenuta Campo al Mare,Italy,3.9,310 ratings,24.29
116,The Formula Robert's Shiraz 2015,Small Gully,Australia,3.9,304 ratings,18.99
117,Barossa Ink Cabernet Sauvignon 2017,Grant Burge,Australia,3.9,295 ratings,18.0
118,Bonarda 2017,Durigutti,Argentina,3.9,288 ratings,22.99
119,Malbec Premium Reserve 2017,Piattelli,Argentina,3.9,285 ratings,20.99
120,Langhe Nebbiolo 2017,De Forville,Italy,3.9,278 ratings,19.71
121,Hacienda de Arínzano Tinto 2014,Arínzano,Spain,3.9,277 ratings,22.0
122,Vinsobres Les Cornuds 2017,Famille Perrin,France,3.9,268 ratings,24.37
123,Barbaresco 2015,Batasiolo,Italy,3.9,263 ratings,23.0
124,La Gemella Barbera d’Alba 2018,Viberti Giovanni,Italy,3.9,258 ratings,24.95
125,I Bastioni Chianti Classico 2016,Collazzi,Italy,3.9,247 ratings,22.0
126,Etna Rosso 2017,Barone di Villagrande,Italy,3.9,245 ratings,21.23
127,Dasempre del Pozzo Buono Lacrima di Morro d'Alba 2018,Vicari,Italy,3.9,209 ratings,15.73
128,Signos de Origen Cabernet Sauvignon 2016,Emiliana,Chile,3.9,188 ratings,20.25
129,Les Terrasses Régis Boucabeille Rouge 2017,Domaine Boucabeille,France,3.9,188 ratings,21.99
130,Argenina Chianti Classico 2015,Podere Il Palazzino,Italy,3.9,185 ratings,24.75
131,Shotfire Quartage 2015,Thorn-Clarke,Australia,3.9,180 ratings,21.75
132,Sant Andrea Primitivo 2018,Cantine Paradiso,Italy,3.9,181 ratings,22.95
133,Gaurano Rosso 2014,Moio,Italy,3.9,176 ratings,18.94
134,Tinto 2017,Arrepiado Velho,Portugal,3.9,168 ratings,25.0
135,Three Gardens Shiraz - Mourvèdre - Grenache 2015,Langmeil,Australia,3.9,164 ratings,20.5
136,Botrosecco Maremma Toscana 2017,Le Mortelle,Italy,3.9,161 ratings,22.76
137,Sposa e Sposa 2014,Heartland,Australia,3.9,157 ratings,21.99
138,Pinot Noir 2017,Bistro,France,3.9,147 ratings,24.0
139,Preziosaterra 2014,Tenuta Montecchiesi,Italy,3.9,144 ratings,19.25
140,Alfrocheiro 2015,Titular,Portugal,3.9,139 ratings,19.86
141,Cabernet Sauvignon 2016,Heavyweight,United States,3.9,138 ratings,24.95
142,Montepulciano 2017,Emotivo,Italy,3.9,125 ratings,16.99
143,Evolution (E) Pinot Noir 2018,Sokol Blosser,United States,3.9,123 ratings,23.99
144,Merlot 2017,Ironstone,United States,3.9,122 ratings,19.99
145,Ruben & Flora Reserva 2017,Viña Tinajas,Chile,3.9,122 ratings,19.91
146,Cabernet Sauvignon 2016,Rock & Vine,United States,3.9,119 ratings,20.5
147,Berola 2016,Borsao,Spain,3.9,119 ratings,23.99
148,Rosso Conero 2016,Le Terrazze,Italy,3.9,114 ratings,18.18
149,Cabernet Sauvignon 2018,Ironstone,United States,3.9,109 ratings,19.99
150,Cheverny Rouge 2018,Domaine du Salvard,France,3.9,99 ratings,22.99
151,Shiraz Shiraz Shiraz 2017,Tscharke,Australia,3.9,98 ratings,23.99
152,Langhe Nebbiolo 2017,Cantina del Pino,Italy,3.9,98 ratings,23.0
