,WineName,Winery,Country,Rating,NumberOfRatings,Price
320,Celentano Vineyard Gamay 2018,Orofino,Canada,3.8,38 ratings,28.0
321,Chianti Classico 2017,Poggio Al Sole,Italy,3.8,37 ratings,21.39
322,Pinot Noir 2018,Hunter's,New Zealand,3.8,36 ratings,24.95
323,Monte dei Cocci Negroamaro 2017,Girolamo,Italy,3.8,34 ratings,14.99
324,Shooting Star Zinfandel 2017,Steele,United States,3.8,33 ratings,24.99
325,Oxum Tinto 2017,Vasques de Carvalho,Portugal,3.8,33 ratings,15.28
326,San Gimignano Pinot Nero 2017,Panizzi,Italy,3.8,32 ratings,18.18
327,Les Peyrouzelles 2018,Causse Marines,France,3.8,31 ratings,23.9
328,Cortes Cannonau di Sardegna 2015,Mura,Italy,3.8,30 ratings,16.5
329,Ossimoro 2015,Pietraventosa,Italy,3.8,30 ratings,21.23
330,Côtes de Bourg 2017,Château Bujan,France,3.8,29 ratings,40.87
331,Bramosia Chianti Classico 2017,Donna Laura,Italy,3.8,29 ratings,21.49
332,Cuvée Joseph Mazard Corbières 2012,Domaine Serres Mazard,France,3.8,28 ratings,21.23
333,Chianti Colli Fiorentini 2010,Ottomani,Italy,3.8,25 ratings,24.59
334,Premium 50 Barricas Syrah 2012,Alceño,Spain,3.7,7847 ratings,22.52
335,Barbera d'Asti Le Orme N.V.,Michele Chiarlo,Italy,3.7,14108 ratings,19.44
336,Malbec 2018,Alamos,Argentina,3.7,10615 ratings,14.99
337,Tinto N.V.,Porta 6,Portugal,3.7,25270 ratings,15.0
338,Malbec 2017,La Linda,Argentina,3.7,5979 ratings,19.91
339,Pruno Ribera del Duero 2015,Finca Villacreces,Spain,3.7,4630 ratings,22.0
340,Tinto 2017,Julia Florista,Portugal,3.7,4041 ratings,8.95
341,Cabernet Sauvignon (Cs) 2017,Substance,United States,3.7,3881 ratings,24.99
342,Tinto 2017,Porca de Murca,Portugal,3.7,3785 ratings,15.99
343,Cabernet Sauvignon 2016,Bogle,United States,3.7,3315 ratings,20.5
344,Côtes-du-Rhône Rouge 2016,E. Guigal,France,3.7,3087 ratings,20.99
345,Pinot Noir 2016,Erath,United States,3.7,2934 ratings,24.0
346,Campofiorin Rosso Veronese 2016,Masi,Italy,3.7,2924 ratings,22.99
347,Don David Reserve Malbec 2018,El Esteco,Argentina,3.7,2328 ratings,19.99
348,Les Vignes de Bila-Haut Côtes du Roussillon Villages 2017,M. Chapoutier,France,3.7,2261 ratings,14.5
349,Tinto 2015,Quinta do Vallado,Portugal,3.7,2117 ratings,20.62
350,Vaucluse Cuvee Rouge 2016,Cuvée Jean-Paul,France,3.7,2018 ratings,15.95
351,Cabernet Sauvignon 2016,Estancia,United States,3.7,1789 ratings,17.25
352,Chaminé Tinto 2017,Cortes de Cima,Portugal,3.7,1787 ratings,20.3
353,Cabernet Sauvignon 2017,La Linda,Argentina,3.7,1619 ratings,19.91
354,Bordeaux 2015,Clarendelle,France,3.7,1623 ratings,16.99
355,Malbec Reserva 2016,Kaiken,Argentina,3.7,1581 ratings,20.78
356,Tinto (Malbec) 2018,Amalaya,Argentina,3.7,1591 ratings,18.99
357,Berardenga Chianti Classico 2017,Fèlsina,Italy,3.7,1579 ratings,22.15
358,Reserva 2015,Hacienda López de Haro,Spain,3.7,1264 ratings,24.84
359,Toscana Dogajolo Rosso 2017,Carpineto,Italy,3.7,1261 ratings,19.99
360,Diálogo Tinto 2017,Niepoort,Portugal,3.7,1086 ratings,21.61
361,Cabernet Sauvignon 2018,Robert Mondavi Private Selection,United States,3.7,1059 ratings,14.49
362,Rocca Guicciarda Chianti Classico Riserva 2016,Ricasoli,Italy,3.7,1046 ratings,24.0
363,Club Privado Tinto 2017,Baron de Ley,Spain,3.7,908 ratings,19.99
364,Il Falcone Riserva Castel del Monte 2008,Rivera,Italy,3.7,890 ratings,23.07
365,Cabernet Sauvignon 2017,The Show,United States,3.7,876 ratings,21.99
366,1884 Reservado Malbec 2013,Escorihuela Gascón,Argentina,3.7,824 ratings,20.0
367,Jumilla Yellow Label 2018,Juan Gil,Spain,3.7,820 ratings,16.95
368,Benuara (Tenuta Presti e Pegni) 2016,Cusumano,Italy,3.7,811 ratings,20.0
369,Lagone Toscana 2017,Aia Vecchia,Italy,3.7,810 ratings,24.99
370,Founders' Estate Cabernet Sauvignon 2018,Beringer,United States,3.7,797 ratings,16.49
371,Chianti Classico 2016,Brancaia,Italy,3.7,799 ratings,22.15
372,Malbec 2017,Tinto Negro (TintoNegro),Argentina,3.7,752 ratings,17.99
373,Nero d'Avola 2017,Stemmari,Italy,3.7,738 ratings,16.99
374,Periquita Tinto (Original) 2018,José Maria da Fonseca,Portugal,3.7,729 ratings,13.99
375,Nero d'Avola 2017,Zabu,Italy,3.7,708 ratings,17.3
376,Old Vine Zinfandel 2016,Plungerhead,United States,3.7,674 ratings,19.99
377,The Footbolt Shiraz 2017,d'Arenberg,Australia,3.7,677 ratings,22.99
378,Vinsobres Les Cornuds 2015,Famille Perrin,France,3.7,662 ratings,20.0
379,Baltos Mencía 2015,Dominio de Tares,Spain,3.7,659 ratings,22.99
380,Estate Malbec 2018,Humberto Canale,Argentina,3.7,632 ratings,19.99
381,Merlot 2015,Smoking Loon,United States,3.7,600 ratings,17.3
382,Malbec 2018,Los Haroldos,Argentina,3.7,589 ratings,16.99
383,Chianti Classico 2017,Volpaia,Italy,3.7,591 ratings,21.85
384,Shiraz 2015,Schild Estate,Australia,3.7,546 ratings,23.0
385,Chianti Classico 2013,Arceno,Italy,3.7,518 ratings,21.75
386,Heritage Reserve Pinot Noir 2017,DeLoach,United States,3.7,504 ratings,22.99
387,Courela Tinto 2018,Cortes de Cima,Portugal,3.7,484 ratings,16.9
388,Tempranillo - Syrah 2016,Gran Sello,Spain,3.7,470 ratings,16.99
389,The Musician Cabernet - Shiraz 2015,Majella,Australia,3.7,463 ratings,24.99
390,Naoussa Boutari Grande Reserve 2012,Boutari,Greece,3.7,456 ratings,24.49
391,Merlot 2015,Benziger,United States,3.7,428 ratings,20.0
392,Laya 2019,Atalaya,Spain,3.7,415 ratings,18.49
393,Beaujolais-Villages 2017,Domaine Piron Lameloise,France,3.7,406 ratings,24.99
394,Colheita Red 2016,Quinta do Portal,Portugal,3.7,399 ratings,23.49
395,Bordeaux Supérieur 2016,Château Argadens,France,3.7,390 ratings,24.99
396,Vintner's Collection Cabernet Sauvignon 2018,Sterling Vineyards,United States,3.7,390 ratings,18.99
397,Stickleback Red 2014,Heartland,Australia,3.7,385 ratings,15.95
398,Gold Label Barossa Shiraz 2014,Wolf Blass,Australia,3.7,365 ratings,21.75
399,Finca La Emperatriz Crianza 2015,Finca La Emperatriz,Spain,3.7,355 ratings,24.95
400,Cabernet Franc 2017,Durigutti,Argentina,3.7,351 ratings,23.99
401,Le Pruneé Merlot 2016,Tommasi,Italy,3.7,343 ratings,23.39
402,Johnny Q Shiraz 2014,Quarisa,Australia,3.7,334 ratings,17.95
403,Montepulciano d'Abruzzo 2015,Cirelli,Italy,3.7,298 ratings,15.12
404,Tenacious Red 2014,Purple Cowboy,United States,3.7,298 ratings,16.5
405,Rouge 2017,Le Petit Chat - Malin,France,3.7,296 ratings,15.56
406,Vino Nobile di Montepulciano 2012,Bindella - Tenuta Vallocaia,Italy,3.7,294 ratings,24.29
407,Amphora Tinto 2017,Art.Terra,Portugal,3.7,294 ratings,19.1
408,Côtes du Rhône Villages Rouge 2017,Famille Perrin,France,3.7,292 ratings,21.65
409,Old Bush Vine Grenache (Samuel's Garden Collection) 2016,Yalumba,Australia,3.7,278 ratings,22.0
410,Aglianico del Vulture 2016,Grifalco,Italy,3.7,274 ratings,28.49
411,Côtes du Rhône Reserve 2018,Cellier des Dauphins,France,3.7,271 ratings,24.37
412,Cabernet Sauvignon 2016,Maggio Family Vineyards,United States,3.7,261 ratings,20.99
413,Legado Muñoz Garnacha 2018,Munoz,Spain,3.7,256 ratings,14.95
414,Malbec 2018,Tapiz,Argentina,3.7,254 ratings,18.99
415,Amávio 2015,Ávidos,Portugal,3.7,231 ratings,14.51
416,Encuentro Cabernet Sauvignon 2014,Rutini,Argentina,3.7,225 ratings,17.25
417,Seleccion Especial Monastrell Finca La Solana 2018,Luzon,Spain,3.7,226 ratings,19.49
418,Extravaganza Red Blend 2016,Trapiche,Argentina,3.7,205 ratings,15.25
419,Moreccio Bolgheri 2018,Casa di Terra,Italy,3.7,206 ratings,21.39
420,Dão Tinto 2016,Quinta dos Roques,Portugal,3.7,201 ratings,24.95
421,Cabernet Franc 2016,Le Monde,Italy,3.7,194 ratings,22.49
422,Quinta de Silvares Tinto 2015,Anselmo Mendes,Portugal,3.7,185 ratings,23.63
423,Valpolicella Classico Superiore Ripasso 2017,Folonari,Italy,3.7,183 ratings,19.99
424,Chianti Rufina 2015,Frascole,Italy,3.7,161 ratings,18.18
425,Côtes-du-Rhône-Villages 'Plan de Dieu' 2017,Romain Duvernay,France,3.7,154 ratings,22.99
426,Pinot Noir 2016,Craftwork,United States,3.7,150 ratings,24.95
427,Chianti Classico 2013,Tenuta Degli Dei,Italy,3.7,148 ratings,20.16
428,Lodi Cabernet Sauvignon 2016,Plungerhead,United States,3.7,147 ratings,19.99
429,Beaujolais-Villages 2015,Domaine Piron Lameloise,France,3.7,145 ratings,23.95
430,Semonte Alto Valpolicella Ripasso Classico Superiore 2012,Venturini,Italy,3.7,144 ratings,19.71
431,Glárima Tinto Roble 2016,Bodega Sommos,Spain,3.7,138 ratings,15.0
432,Chianti Classico 2017,Poggerino,Italy,3.7,138 ratings,24.29
433,Ventoux Les Gélinottes 2015,Alain Jaume,France,3.7,127 ratings,21.95
434,Petite Sirah 2017,Old Soul,United States,3.7,124 ratings,19.0
435,Pactio Toscana Rosso 2016,Fertuna,Italy,3.7,120 ratings,17.57
436,Dead End Tempranillo 2016,S.C. Pannell,Australia,3.7,119 ratings,22.22
437,Cabernet Sauvignon 2017,Sottano,Argentina,3.7,119 ratings,19.99
438,Cabernet Sauvignon Reserva 2016,Falernia,Chile,3.7,110 ratings,19.99
439,Terrenus 2012,Rui Reguinga,Portugal,3.7,107 ratings,24.29
440,Okanagan Estate Pinot Noir 2018,Inniskillin,Canada,3.7,107 ratings,17.99
441,La Jumalie Bourgogne Pinot Noir 2016,Henri Darnat,France,3.7,106 ratings,21.95
442,Touriga Nacional 2017,Casa Santos Lima,Portugal,3.7,105 ratings,14.26
443,Chianti Superiore 2018,Castello del Trebbio,Italy,3.7,106 ratings,14.51
444,Cabernet Sauvignon 2016,Alkoomi,Australia,3.7,103 ratings,19.25
445,Chianti Classico 2017,Tenuta di Nozzole,Italy,3.7,103 ratings,18.18
446,Natal Malbec 2017,Alpamanta,Argentina,3.7,101 ratings,21.95
447,Peloro Rosso 2016,Le Casematte,Italy,3.7,100 ratings,24.99
448,Major's Block Red Blend 2016,See Ya Later Ranch,Canada,3.7,98 ratings,19.99
449,Cabernet Franc 2017,Tinhorn Creek,Canada,3.7,97 ratings,26.24
450,Fidelis Sannio Aglianico 2013,Cantina del Taburno,Italy,3.7,97 ratings,22.1
451,Bordeaux Supérieur 2016,Château Haut Rozier,France,3.7,97 ratings,21.99
452,Vendanges Nocturnes (Classic) Rouge 2017,Laurent Miquel,France,3.7,96 ratings,14.7
453,Nebbiolo Langhe 2018,Giacomo Fenocchio,Italy,3.7,97 ratings,24.29
454,Nuna Estate Cabernet Sauvignon 2014,Chakana,Argentina,3.7,94 ratings,17.75
455,Moinho do Gato Tinto 2016,Quinta do Romeu,Portugal,3.7,91 ratings,12.22
456,Serra del Prete Aglianico del Vulture 2012,Musto Carmelitano,Italy,3.7,91 ratings,20.47
457,Private Reserve Baco Noir 2017,Peller Estates,Canada,3.7,88 ratings,21.95
458,Shiraz 2015,West Cape Howe,Australia,3.7,87 ratings,20.0
459,Chianti Rufina 2016,Grignano,Italy,3.7,86 ratings,24.99
460,Cantagallo Chianti Montalbano Riserva 2016,Pierazzuoli,Italy,3.7,88 ratings,22.76
461,Selected Barrels Cabernet - Merlot 2018,Hester Creek,Canada,3.7,84 ratings,18.52
462,Cabernet Sauvignon 2017,Seven Peaks,United States,3.7,82 ratings,123.44
463,Mil Historias Organic Malbec 2017,AltoLandon,Spain,3.7,79 ratings,23.99
464,Malbec Stone Soil Select 2017,Manos Negras,Argentina,3.7,78 ratings,23.99
465,Johnny Q Cabernet Sauvignon 2015,Quarisa,Australia,3.7,76 ratings,16.95
466,Big Bang Theory 2018,Blasted Church,Canada,3.7,75 ratings,21.5
467,Crazy Grapes Monastrell 2017,Finca Bacara,Spain,3.7,75 ratings,18.95
468,Côté Mer Collioure Rouge 2018,Domaine de la Rectorie,France,3.7,74 ratings,22.91
469,Haycutters Shiraz 2017,Shingleback,Australia,3.7,69 ratings,22.5
470,Reserva 2013,Escada,Portugal,3.7,68 ratings,19.25
471,Vermentino Nero 2018,Terenzuola,Italy,3.7,68 ratings,20.62
472,Schietto Syrah 2010,Spadafora,Italy,3.7,67 ratings,21.69
473,Roble 2016,Abadia de Acon,Spain,3.7,64 ratings,23.95
474,Coteaux d'Aix en Provence Rouge 2018,Château Revelette,France,3.7,63 ratings,24.25
475,Rosso di Montepulciano 2018,Poderi Sanguineto I e II,Italy,3.7,62 ratings,20.32
476,Cabernet Sauvignon 2018,Galil Mountain Winery (יקב הרי גליל),Israel,3.7,60 ratings,20.99
477,Bordeaux Rouge 2018,Croix Saint-Martin,France,3.7,56 ratings,19.04
478,Cabernet Sauvignon 2016,Lotus,United States,3.7,56 ratings,23.25
479,Okanagan Estate Merlot 2017,Inniskillin,Canada,3.7,56 ratings,16.99
480,Cabernet - Merlot 2018,Henry of Pelham,Canada,3.7,55 ratings,15.75
481,Sassirossi 2017,Masut Da Rive,Italy,3.7,56 ratings,19.95
482,Bolgheri Orio 2018,Podere Il Castellaccio,Italy,3.7,54 ratings,22.76
483,St. David's Bench Vineyard Droit Gamay Noir 2017,Château des Charmes,Canada,3.7,52 ratings,19.85
484,Easton House Red Wine 2011,Easton,United States,3.7,51 ratings,23.9
485,Bourgogne Pinot Noir Vieilles Vignes 2018,Nicolas Potel,France,3.7,51 ratings,23.45
486,Gamekeeper's Red Blend 2017,St Hallett,Australia,3.7,49 ratings,14.7
487,Cuvée Amarante La Clape 2015,Château Rouquette Sur Mer,France,3.7,49 ratings,24.0
488,Malbec 2017,Aguijón de Abeja,Argentina,3.7,43 ratings,20.99
489,Reserva Cabernet Sauvignon 2018,Chilcas,Chile,3.7,41 ratings,17.1
490,Les Sorcières Côtes du Roussillon Rouge 2019,Domaine du Clos des Fées,France,3.7,42 ratings,21.39
491,Cabernet Sauvignon 2013,Delheim,South Africa,3.7,39 ratings,19.66
492,Gamay Noir 2018,Trius,Canada,3.7,39 ratings,19.95
493,Private Reserve Gamay Noir 2017,Peller Estates,Canada,3.7,38 ratings,21.95
494,Reserva de Familia 3S Cabernet Sauvignon 2012,Sottano,Argentina,3.7,38 ratings,21.0
495,Il Valtènesi 2017,Pasini San Giovanni,Italy,3.7,37 ratings,18.18
496,Syrah 2014,Alvarez Nölting,Spain,3.7,36 ratings,19.0
497,Merlot 2014,Monster,Canada,3.7,36 ratings,19.9
498,Rosso di Montepulciano 2018,Crociani,Italy,3.7,35 ratings,16.65
499,Pinot Noir 2015,Haywire,Canada,3.7,34 ratings,24.0
500,La Ladra Barbera d'Asti Superiore 2016,Tenute dei Vallarino,Italy,3.7,33 ratings,22.52
501,Signature Pinot Noir 2016,Henri Pion,France,3.7,30 ratings,21.99
502,Cabernet Sauvignon 2018,Leaping Horse,United States,3.7,33 ratings,15.99
503,La Champine Syrah 2013,Jean-Michel Gerin,France,3.7,30 ratings,19.55
504,Rosso di Montalcino 2018,Tenuta di Sesta,Italy,3.7,28 ratings,19.86
505,Small Lot Gamay 2018,Malivoire,Canada,3.7,30 ratings,21.95
506,Cabernets 2013,Summerhill Pyramid,Canada,3.7,27 ratings,21.75
507,Il Nero di Casanova Toscana Sangiovese 2015,La Spinetta,Italy,3.7,26 ratings,23.0
508,Torre di Ceparano Sangiovese di Romagna Superiore 2015,Fattoria Zerbina,Italy,3.7,26 ratings,21.85
509,A Mont Langhe Nebbiolo 2017,Paolo Conterno,Italy,3.7,26 ratings,24.0
510,Private Reserve Cabernet Franc 2017,Peller Estates,Canada,3.7,25 ratings,23.95
511,Crianza 2016,Cune (CVNE),Spain,3.6,5009 ratings,20.99
512,Toscana 2015,Santa Cristina,Italy,3.6,6335 ratings,12.75
513,Rèmole Rosso 2017,Frescobaldi,Italy,3.6,3328 ratings,17.3
514,Sedàra 2016,Donnafugata,Italy,3.6,3204 ratings,19.75
515,Merlot 2016,Bogle,United States,3.6,2626 ratings,22.75
516,Bordeaux 2014,Clarendelle,France,3.6,2528 ratings,24.0
517,Neprica 2015,Tormaresca,Italy,3.6,2303 ratings,14.25
518,TW 12 (Twelve) Monastrell 2011,Alceño,Spain,3.6,2118 ratings,18.17
519,Chianti Classico 2015,Castello di Gabbiano,Italy,3.6,1649 ratings,16.5
520,Clos de Torribas Crianza Tempranillo 2016,Pinord,Spain,3.6,1549 ratings,17.99
521,Colheita Seleccionada Tinto 2014,Cabriz,Portugal,3.6,1510 ratings,21.49
522,Malbec 2018,Tilia,Argentina,3.6,1479 ratings,18.49
523,Pinot Noir N.V.,Black Ridge,United States,3.6,1386 ratings,22.2
524,Carmenérè 2017,Root 1,Chile,3.6,1372 ratings,18.17
525,Shiraz BIN 555 2016,Wyndham,Australia,3.6,1334 ratings,15.75
526,Le Naturel Red 2018,Aroa,Spain,3.6,1165 ratings,23.99
527,La Segreta Rosso 2017,Planeta,Italy,3.6,1081 ratings,19.0
528,Rubesco Rosso di Torgiano 2014,Lungarotti,Italy,3.6,1040 ratings,23.99
529,Malbec 2018,Argento,Argentina,3.6,1005 ratings,17.99
530,Estate Gardemiel Vineyard Pinot Noir N.V.,Paul Mas,France,3.6,976 ratings,18.95
531,Pinot Noir 2018,Angeline,United States,3.6,914 ratings,23.95
532,667 Pinot Noir 2017,Noble Vines,United States,3.6,875 ratings,22.99
533,North Coast Cabernet Sauvignon 2017,William Hill,United States,3.6,807 ratings,22.99
534,Beaujolais-Villages 2018,Louis Jadot,France,3.6,803 ratings,20.99
535,Pinot Noir 2018,Cline,United States,3.6,791 ratings,24.95
536,Rosso di Montalcino 2018,Banfi,Italy,3.6,770 ratings,18.18
537,Brecciarolo Rosso Piceno Superiore 2015,Velenosi,Italy,3.6,741 ratings,12.95
538,Aglianico Rubrato 2017,Feudi di San Gregorio,Italy,3.6,731 ratings,24.0
539,Cerasuolo di Vittoria 2016,Planeta,Italy,3.6,692 ratings,24.0
540,Samorëns Côtes-du-Rhône Rouge 2016,Ferraton Père & Fils,France,3.6,694 ratings,21.99
541,Zinfandel 2017,Bonterra,United States,3.6,671 ratings,23.99
542,Frescaripa Bardolino Classico 2017,Masi,Italy,3.6,664 ratings,17.3
543,Tinto 2017,São Miguel do Sul,Portugal,3.6,644 ratings,19.91
544,Chianti Classico 2013,Castello di Monsanto,Italy,3.6,610 ratings,21.54
545,Vintner's Collection Merlot 2016,Sterling Vineyards,United States,3.6,607 ratings,18.99
546,Select Tinto 2016,Monte dos Amigos,Portugal,3.6,580 ratings,16.43
547,Valpolicella Classico 2018,Speri,Italy,3.6,552 ratings,21.99
548,Ronan by Clinet Bordeaux 2015,Château Clinet,France,3.6,549 ratings,24.99
549,Crianza 2017,Hacienda López de Haro,Spain,3.6,547 ratings,17.99
550,Syrah 2016,Michel Gassier,France,3.6,484 ratings,20.99
551,Pinot Noir 2016,Manos Negras,Argentina,3.6,470 ratings,17.99
552,Gragnano N.V.,Iovine,Italy,3.6,455 ratings,12.37
553,Red Blend 2015,Farmers of Wine,Italy,3.6,418 ratings,19.91
554,Secateurs Red Blend 2013,Badenhorst,South Africa,3.6,416 ratings,22.0
555,Old Vine Zinfandel 2015,Zen of Zin,United States,3.6,388 ratings,13.25
556,Côtes-du-Rhône-Villages 'Plan de Dieu' 2015,Château Saint-Jean,France,3.6,359 ratings,22.0
557,Loreto Barbera d'Asti N.V.,Molino,Italy,3.6,357 ratings,15.83
558,Brusco 2016,Fattoria dei Barbi,Italy,3.6,309 ratings,24.99
559,Crianza 2016,Pagos de Aráiz,Spain,3.6,304 ratings,18.95
560,Armonia Toscana 2016,Casadei,Italy,3.6,294 ratings,14.51
561,Llama Old Vine Malbec 2018,Belasco de Baquedano,Argentina,3.6,296 ratings,20.99
562,Montepulciano d'Abruzzo 2016,Torre dei Beati,Italy,3.6,276 ratings,15.12
563,Cabernet Sauvignon 2016,Mirassou,United States,3.6,266 ratings,12.75
564,Terroir Único Pinot Noir 2018,Zorzal,Argentina,3.6,261 ratings,22.42
565,Chianti Classico 2015,Rocca di Castagnoli,Italy,3.6,260 ratings,17.87
566,Las Tres Filas Mencia Bierzo 2016,Merayo,Spain,3.6,256 ratings,20.25
567,Lagrein 2016,Alois Lageder,Italy,3.6,242 ratings,23.0
568,Pinot Noir 2018,McManis,United States,3.6,230 ratings,21.95
569,Cabernet Sauvignon 2017,Gravelly Ford,United States,3.6,227 ratings,20.5
570,Diálogo Tinto 2018,Niepoort,Portugal,3.6,221 ratings,24.99
571,Chianti Classico 2013,Capraia,Italy,3.6,214 ratings,16.96
572,Montepulciano d'Abruzzo 2015,Tiberio,Italy,3.6,202 ratings,21.75
573,Estate Pinot Noir 2018,Humberto Canale,Argentina,3.6,204 ratings,19.99
574,Pinot Noir 2016,Opawa,New Zealand,3.6,200 ratings,20.25
575,Winemaker's Special Reserve Red 2012,William Cole,Chile,3.6,198 ratings,21.65
576,Cabernet Sauvignon 2017,Cycles Gladiator,United States,3.6,199 ratings,22.99
577,Reserve Malbec 2018,Trapiche,Argentina,3.6,197 ratings,14.99
578,Tinto 2016,Opta,Portugal,3.6,194 ratings,22.99
579,Lame del Sorbo Tintilia del Molise 2013,Vinica,Italy,3.6,191 ratings,16.04
580,Rosário Tinto 2018,Casa Ermelinda Freitas,Portugal,3.6,183 ratings,15.99
581,Shiraz 2017,Guardian Peak,South Africa,3.6,177 ratings,21.99
582,Ventoux 2018,Famille Perrin,France,3.6,172 ratings,15.49
583,Bordeaux Supérieur 2016,Château Canada,France,3.6,168 ratings,22.99
584,Pinotage - Malbec 2019,Bruce Jack,South Africa,3.6,165 ratings,103.94
585,Chevalier de Dyonis Pinot Noir 2015,Serve,Romania,3.6,162 ratings,15.99
586,Selección de Fincas Graciano 2016,Cune (CVNE),Spain,3.6,158 ratings,20.99
587,Red Knot Cabernet Sauvignon 2015,Shingleback,Australia,3.6,144 ratings,17.8
588,Mas Donis Negre 2018,Capçanes,Spain,3.6,143 ratings,20.99
589,Central Coast Zinfandel 2015,Sextant,United States,3.6,140 ratings,23.99
590,El Politico Garnacha 2015,Baltasar Gracián,Spain,3.6,140 ratings,17.3
591,Valdolmo Nebbiolo d'Alba 2016,Vite Colte,Italy,3.6,137 ratings,24.0
592,Tempranillo Roble 2016,Pata Negra,Spain,3.6,130 ratings,16.57
593,Assisi Rosso 2016,Sportoletti,Italy,3.6,124 ratings,21.99
594,Blaye Côtes de Bordeaux 2014,Château La Guilbonnerie,France,3.6,119 ratings,24.95
595,Dolcetto D'Alba 2016,Paolo Scavino,Italy,3.6,118 ratings,21.23
596,Primitivo Salento 2014,Cantine due Palme,Italy,3.6,116 ratings,14.75
597,Gamay 2018,Malivoire,Canada,3.6,116 ratings,19.95
598,Merlot 2016,Red Rooster,Canada,3.6,112 ratings,20.46
599,Chianti Classico 2017,Dievole,Italy,3.6,110 ratings,22.76
600,Pinot Noir 2018,Gray Monk,Canada,3.6,110 ratings,23.09
601,Al-Muvedre Tinto Monastrell 2018,Telmo Rodriguez,Spain,3.6,110 ratings,17.99
602,Bordeaux 2018,Clarendelle,France,3.6,109 ratings,16.99
603,Eloquenzia 2015,Severino Garofano,Italy,3.6,109 ratings,15.12
604,8A Mil Gracias Graciano 2013,Ochoa,Spain,3.6,108 ratings,25.95
605,La Réserve Fleurie 2011,Villa Ponciago,France,3.6,107 ratings,23.95
606,Chianti Classico 2016,Villa Pomona,Italy,3.6,106 ratings,21.23
607,Rouge N.V.,Dorrance Wines (Vins d'Orrance),South Africa,3.6,104 ratings,18.5
608,Centenario Reserve Malbec 2018,Graffigna,Argentina,3.5,104 ratings,12.0
609,LZ Rioja 2018,Telmo Rodriguez,Spain,3.6,99 ratings,22.99
610,Andrew Mcpherson Shiraz 2018,McPherson,Australia,3.6,98 ratings,17.1
611,Pinot Noir 2016,Coastal Vines Cellars,United States,3.6,94 ratings,17.99
612,Toscana Rosso 2018,Tenuta Il Poggione,Italy,3.6,93 ratings,22.99
613,Sibaris Gran Reserva Pinot Noir 2017,Undurraga,Chile,3.6,89 ratings,19.99
614,Bardolino Classico Tacchetto 2017,Guerrieri Rizzardi,Italy,3.6,88 ratings,19.75
615,Fass Nr. 9 Vernatsch 2018,Girlan,Italy,3.6,86 ratings,19.71
616,Syrah Les Candives 2016,Yves Cuilleron,France,3.6,83 ratings,24.29
617,Pinot Noir 2017,Ballard Lane,United States,3.6,82 ratings,23.99
618,Diorama Syrah 2017,Pinord,Spain,3.6,77 ratings,24.99
619,Cabernet Franc Collio 2015,Gradis'Ciutta,Italy,3.6,75 ratings,19.71
620,Ventoux Les Gélinottes 2016,Alain Jaume,France,3.6,74 ratings,21.95
621,Anthos 2015,Matteo Correggia,Italy,3.6,72 ratings,17.41
622,Cabernet Franc 2017,Bordertown Vineyards and Estate Winery,Canada,3.6,69 ratings,21.99
623,Merlot 2015,Gnarled Vine,United States,3.6,69 ratings,16.99
624,Rosso di Montepulciano 2017,Le Bèrne,Italy,3.6,67 ratings,16.65
625,Pasico Monastrell - Shiraz 2018,Juan Gil,Spain,3.6,67 ratings,15.78
626,Rosso di Montalcino 2017,Podere Brizio,Italy,3.6,66 ratings,22.76
627,Cabernet Sauvignon 2017,Drifting,United States,3.6,67 ratings,15.0
628,Santa Cristina In Pilli Carmignano 2016,Fattoria Ambra,Italy,3.6,64 ratings,18.18
629,La Multa Old Vine Garnacha 2016,El Escocés Volante,Spain,3.6,63 ratings,15.95
630,Emilio Valerio 2016,Laderas de Montejurra,Spain,3.6,62 ratings,17.75
631,Rebus Ruchè di Castagnole Monferrato 2014,Vinchio - Vaglio Serra,Italy,3.6,61 ratings,23.16
632,Cabernet Sauvignon 2016,Delheim,South Africa,3.6,60 ratings,15.33
633,Encuentro Pinot Noir 2014,Rutini,Argentina,3.6,60 ratings,19.5
634,Shiraz Lakefront Series 2018,Konzelmann,Canada,3.6,57 ratings,15.95
635,Morellino di Scansano 2016,Montecivoli,Italy,3.6,54 ratings,14.21
636,Chianti Classico 2013,La Montanina,Italy,3.6,53 ratings,14.36
637,Forgiarìn 2015,Emilio Bulfon,Italy,3.6,52 ratings,20.4
638,Tano Rosso Veronese 2011,Le Guaite di Noemi,Italy,3.6,50 ratings,18.94
639,Merlot 2018,McManis,United States,3.6,50 ratings,24.99
640,Exception Malbec 2018,Château de Gaudou,France,3.6,49 ratings,16.99
641,Cabernet Sauvignon 2016,Tin Roof Cellars,United States,3.6,50 ratings,16.95
642,Bergerac Malbec 2018,Château Laulerie,France,3.6,47 ratings,22.49
643,Le Caprice de Clémentine Rouge 2014,Château Les Valentines,France,3.6,47 ratings,22.91
644,Rosso di Montalcino 2017,Pian delle Querci,Italy,3.6,45 ratings,17.72
645,Selected Barrels Merlot 2015,Hester Creek,Canada,3.6,45 ratings,19.5
646,Rosso 2014,Viteadovest,Italy,3.6,41 ratings,20.93
647,Rendez-Vous 2017,Viranel,France,3.6,41 ratings,18.49
648,Lagrein 2018,Girlan,Italy,3.6,40 ratings,20.93
649,Rosso di Montalcino 2018,Fanti,Italy,3.6,39 ratings,35.06
